#Note,Mention_TB,Label
#0 : Mathématiques / NSI (Cluster dense, réussite homogène élevée).1 : Humanités / Littérature (Cluster plus dispersé, notes plus variées).2 : Mathématiques / Physique (Micro-cluster "Élite", ultra-dense, notes très hautes).3 : Candidats Libres / Autres (Bruit, points isolés).
12.20,19.40,1
11.60,16.70,1
13.70,26.20,1
10.10,10.80,1
12.90,19.90,1
11.30,14.80,1
13.30,24.40,1
10.60,12.20,1
12.50,19.50,1
11.80,17.70,1
19.10,85.20,2
19.05,84.90,2
19.15,86.00,2
19.00,85.50,2
19.12,85.80,2
19.08,85.10,2
19.02,84.80,2
19.18,86.20,2
19.00,85.00,2
19.11,85.40,2
19.05,84.95,2
19.13,85.90,2
19.07,85.20,2
19.04,85.30,2
19.14,86.10,2
19.09,85.50,2
19.03,84.90,2
19.16,86.30,2
19.01,85.10,2
19.10,85.40,2
8.50,2.20,3
14.10,35.50,3
5.05,0.10,3
17.40,65.30,3
9.90,5.20,3
12.20,14.80,3
4.50,0.00,3
19.80,95.90,3
7.30,3.15,3
15.50,40.90,3
