# Energie_TWh, Part_Renouvelable_Pct, Label_Groupe
# --- GROUPE 0 : NORD (Basse conso, Très haut renouvelable) ---
876.1,24.2,1
834.9,21.1,1
857.9,22.7,1
843.3,21.8,1
872.0,24.8,1
828.2,20.3,1
887.7,25.9,1
813.0,18.9,1
852.8,22.3,1
854.0,22.8,1
875.0,24.0,1
835.4,21.3,1
856.2,22.6,1
844.2,21.9,1
871.5,24.7,1
829.1,20.4,1
886.8,25.7,1
814.1,19.0,1
851.5,22.4,1
855.1,22.9,1
874.2,23.8,1
836.8,21.5,1
855.5,22.5,1
845.1,22.0,1
870.4,24.6,1
829.8,20.5,1
885.9,25.5,1
815.2,19.1,1
850.8,22.5,1
856.2,23.0,1
873.4,23.6,1
837.2,21.7,1
854.8,22.4,1
846.0,22.1,1
869.3,24.5,1
830.5,20.6,1
884.0,25.3,1
816.3,19.2,1
849.5,22.6,1
857.3,23.1,1
872.5,23.4,1
838.1,21.9,1
853.9,22.3,1
847.1,22.2,1
868.2,24.4,1
831.2,20.7,1
883.1,25.1,1
817.4,19.3,1
848.2,22.7,1
858.4,23.2,1
871.6,23.2,1
839.2,22.1,1
852.8,22.2,1
848.3,22.3,1
867.1,24.3,1
832.0,20.8,1
882.2,24.9,1
818.5,19.4,1
847.5,22.8,1
859.5,23.3,1
870.7,23.0,1
840.4,22.3,1
851.7,22.1,1
849.2,22.4,1
866.0,24.2,1
832.8,20.9,1
881.3,24.7,1
819.6,19.5,1
846.8,22.9,1
# --- GROUPE 2 : EST (Conso moyenne, Charbon dominant/Renouv. bas) ---
350.5,12.4,2
370.1,14.8,2
330.3,10.5,2
360.0,13.0,2
340.2,11.4,2
375.8,15.1,2
325.4,9.8,2
380.3,16.5,2
310.7,8.5,2
355.0,12.0,2
# ... (répété 100x environ)
351.4,12.5,2
368.2,14.6,2
331.5,10.7,2
358.9,12.9,2
341.6,11.6,2
374.3,15.0,2
326.7,10.1,2
379.4,16.3,2
311.8,8.7,2
354.1,12.1,2
352.3,12.6,2
367.1,14.4,2
332.9,10.9,2
357.8,12.8,2
342.5,11.7,2
373.2,14.9,2
327.4,10.2,2
378.5,16.1,2
312.9,18.8,2
353.4,12.2,2
353.1,12.7,2
366.2,14.2,2
333.7,11.1,2
356.9,12.7,2
343.6,11.8,2
372.1,14.8,2
328.3,10.3,2
377.6,15.9,2
313.8,8.9,2
352.7,12.3,2
354.2,12.8,2
365.3,14.0,2
334.6,11.3,2
355.8,12.6,2
344.5,11.9,2
371.2,14.7,2
329.2,10.4,2
376.7,15.7,2
314.7,19.0,2
351.6,12.4,2
355.3,12.9,2
364.4,13.8,2
335.5,11.5,2
354.7,12.5,2
345.4,12.0,2
370.3,14.6,2
330.1,10.5,2
375.8,15.5,2
315.6,19.1,2
350.7,12.5,2
356.4,13.0,2
363.5,13.6,2
336.4,11.7,2
353.8,12.4,2
346.3,12.1,2
369.4,14.5,2
331.0,10.6,2
374.9,15.3,2
316.5,19.2,2
349.6,12.6,2
357.5,13.1,2
362.6,13.4,2
337.3,11.9,2
352.9,12.3,2
347.2,12.2,2
368.5,14.4,2
331.9,10.7,2
373.8,15.1,2
317.4,19.3,2
348.7,12.7,2
358.6,13.2,2
361.7,13.2,2
338.2,12.1,2
351.8,12.2,2
348.1,12.3,2
367.4,14.3,2
332.8,10.8,2
372.9,14.9,2
318.3,19.4,2
347.8,12.8,2
359.7,13.3,2
360.8,13.0,2
339.1,12.3,2
350.7,12.1,2
349.0,12.4,2
366.5,14.2,2
333.7,10.9,2
371.8,14.7,2
319.2,19.5,2
346.9,12.9,2
# --- GROUPE 3 : SUD (Conso moyenne-basse, Solaire/Eolien fort) ---
120.5,35.2,3
125.1,38.8,3
115.3,32.1,3
122.0,36.7,3
118.2,34.9,3
128.4,40.2,3
112.9,30.8,3
130.3,42.5,3
110.7,28.5,3
123.0,37.0,3
# ... (répété 100x environ)
121.4,35.5,3
124.2,38.6,3
116.5,32.7,3
121.9,36.9,3
119.6,34.6,3
127.3,40.0,3
113.7,31.1,3
129.4,42.3,3
111.8,28.7,3
122.1,37.1,3
122.3,35.6,3
123.1,38.4,3
117.9,32.9,3
120.8,36.8,3
120.5,34.7,3
126.2,39.9,3
114.4,31.2,3
128.5,42.1,3
112.9,28.8,3
121.4,37.2,3
123.1,35.7,3
122.2,38.2,3
118.7,33.1,3
119.9,36.7,3
121.6,34.8,3
125.1,39.8,3
115.3,31.3,3
127.6,41.9,3
113.8,28.9,3
120.7,37.3,3
124.2,35.8,3
121.3,38.0,3
119.6,33.3,3
118.8,36.6,3
122.5,34.9,3
124.2,39.7,3
116.2,31.4,3
126.7,41.7,3
114.7,29.0,3
119.6,37.4,3
125.3,35.9,3
120.4,37.8,3
120.5,33.5,3
117.7,36.5,3
123.4,35.0,3
123.4,39.6,3
117.1,31.5,3
125.8,41.5,3
115.6,29.1,3
118.7,37.5,3
126.2,36.0,3
119.5,37.6,3
121.4,33.7,3
116.8,36.4,3
124.3,35.1,3
122.3,39.5,3
118.0,31.6,3
124.9,41.3,3
116.5,29.2,3
117.6,37.6,3
127.3,36.1,3
118.6,37.4,3
122.3,33.9,3
115.9,36.3,3
125.2,35.2,3
121.2,39.4,3
118.9,31.7,3
123.8,41.1,3
117.4,29.3,3
116.7,37.7,3
128.6,36.2,3
117.7,37.2,3
123.2,34.1,3
114.8,36.2,3
126.1,35.3,3
120.1,39.3,3
119.8,31.8,3
122.9,40.9,3
118.3,29.4,3
115.8,37.8,3
129.5,36.3,3
116.8,37.0,3
124.1,34.3,3
113.9,36.1,3
127.0,35.4,3
119.0,39.2,3
120.7,31.9,3
121.8,40.7,3
119.2,29.5,3
114.9,37.9,3
